,Name,Strand,Start,Stop,Note,Genome,Counts
41,ilvH,+,87357,87848,acetolactate synthase III%2C valine sensitive%2C small subunit,NC_000913.2,210
42,cra,+,88028,89032,transcriptional repressor of fru operon and others,NC_000913.2,907
43,mraZ,+,89634,90092,RsmH methytransferase inhibitor,NC_000913.2,2087
44,rsmH,+,90094,91035,putative apolipoprotein,NC_000913.2,2247
45,ftsL,+,91032,91397,cell division protein%3B ingrowth of wall at septum,NC_000913.2,937
46,ftsI,+,91413,93179,septum formation%3B penicillin-binding protein 3%3B peptidoglycan synthetase,NC_000913.2,2427
47,murE,+,93166,94653,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase,NC_000913.2,5831
48,murF,+,94650,96008,UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase,NC_000913.2,5380
49,mraY,+,96002,97084,phospho-N-acetylmuramoyl-pentapeptide transferase?,NC_000913.2,2108
50,murD,+,97087,98403,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase,NC_000913.2,4828
51,ftsW,+,98403,99647,cell division%3B membrane protein involved in shape determination,NC_000913.2,2098
52,murG,+,99644,100711,N-acetylglucosaminyl transferase,NC_000913.2,4831
53,murC,+,100765,102240,UDP-N-acetylmuramate:L-alanine ligase,NC_000913.2,11893
54,ddlB,+,102233,103153,D-alanine-D-alanine ligase B%2C affects cell division,NC_000913.2,5385
55,ftsQ,+,103155,103985,cell division protein%3B ingrowth of wall at septum,NC_000913.2,4345
56,ftsA,+,103982,105244,ATP-binding cell division protein%2C septation process%2C complexes with FtsZ%2C associated with junctions of inner and outer membranes,NC_000913.2,7900
57,ftsZ,+,105305,106456,cell division%3B forms circumferential ring%3B tubulin-like GTP-binding protein and GTPase,NC_000913.2,9416
58,lpxC,+,106557,107474,UDP-3-O-acyl N-acetylglucosamine deacetylase%3B lipid A biosynthesis,NC_000913.2,7890
59,secM,+,107705,108217,regulator of secA translation,NC_000913.2,378
60,secA,+,108279,110984,preprotein translocase%3B secretion protein,NC_000913.2,7133
61,mutT,+,111044,111433,7%2C8-dihydro-8-oxoguanine-triphosphatase%2C prefers dGTP%2C causes AT-GC transversions,NC_000913.2,20
62,guaC,+,113444,114487,GMP reductase,NC_000913.2,4205
63,ampD,+,118733,119284,regulates ampC,NC_000913.2,70
64,ampE,+,119281,120135,regulates ampC,NC_000913.2,250
65,pdhR,+,122092,122856,transcriptional regulator for pyruvate dehydrogenase complex,NC_000913.2,1324
66,aceE,+,123017,125680,pyruvate dehydrogenase (decarboxylase component),NC_000913.2,21870
67,aceF,+,125695,127587,pyruvate dehydrogenase (dihydrolipoyltransacetylase component),NC_000913.2,19602
68,lpd,+,127912,129336,lipoamide dehydrogenase (NADH)%3B component of 2-oxodehydrogenase and pyruvate complexes%3B L-protein of glycine cleavage complex,NC_000913.2,13206
69,acnB,+,131615,134212,aconitate hydrase B,NC_000913.2,29314
70,yacL,+,134388,134750,hypothetical protein,NC_000913.2,190
71,cueO,+,137083,138633,multicopper oxidase (laccase),NC_000913.2,1055
72,hpt,+,141431,141967,hypoxanthine phosphoribosyltransferase,NC_000913.2,465
73,yadG,+,142779,143705,putative ATP-binding component of a transport system,NC_000913.2,297
74,yadH,+,143702,144472,putative transporter subunit: membrane component of ABC superfamily,NC_000913.2,390
75,yadI,+,144577,145017,putative PTS enzyme II B component,NC_000913.2,141
76,yadE,+,145081,146310,conserved hypothetical protein,NC_000913.2,387
77,yadD,+,146968,147870,putative transposase,NC_000913.2,16
78,hrpB,+,162105,164534,helicase%2C ATP-dependent,NC_000913.2,6958
79,mrcB,+,164730,167264,peptidoglycan synthetase%3B penicillin-binding protein 1B,NC_000913.2,1872
80,fhuA,+,167484,169727,outer membrane protein receptor for ferrichrome%2C colicin M%2C and phages T1%2C T5%2C and phi80,NC_000913.2,1316
81,fhuC,+,169778,170575,ATP-binding component of hydroxymate-dependent iron transport,NC_000913.2,375
82,fhuD,+,170575,171465,hydroxamate-dependent iron uptake%2C cytoplasmic membrane component%3B periplasmic-binding component of ABC superfamily,NC_000913.2,201
83,fhuB,+,171462,173444,fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components,NC_000913.2,1136
84,clcA,+,175107,176528,putative channel transporter,NC_000913.2,491
85,erpA,+,176610,176954,iron-sulfur cluster insertion protein,NC_000913.2,273
86,dgt,+,179237,180754,deoxyguanosine triphosphate triphosphohydrolase,NC_000913.2,581
87,degP,+,180884,182308,periplasmic serine protease Do%3B heat shock protein HtrA,NC_000913.2,1673
88,cdaR,+,182463,183620,DNA-binding transcriptional regulator for gar and gud operons%3B carbohydrate diacid regulator,NC_000913.2,369
89,rpsB,+,189874,190599,30S ribosomal subunit protein S2,NC_000913.2,4256
90,tsf,+,190857,191708,protein chain elongation factor EF-Ts,NC_000913.2,4395
91,pyrH,+,191855,192580,uridylate kinase,NC_000913.2,4531
92,frr,+,192872,193429,ribosome releasing factor,NC_000913.2,887
93,dxr,+,193521,194717,1-deoxy-D-xylulose 5-phosphate reductoisomerase,NC_000913.2,1004
94,ispU,+,194903,195664,undecaprenyl pyrophosphate synthetase (di-trans%2Cpoly-cis-decaprenylcistransferase),NC_000913.2,2797
95,cdsA,+,195677,196534,CDP-diglyceride synthetase,NC_000913.2,1849
96,rseP,+,196546,197898,inner membrane zinc RIP metalloprotease%3B RpoE activator%2C by degrading RseA%3B cleaved signal peptide endoprotease,NC_000913.2,3436
97,bamA,+,197928,200360,putative outer membrane antigen,NC_000913.2,6687
98,skp,+,200482,200967,periplasmic molecular chaperone for outer membrane proteins,NC_000913.2,1770
99,lpxD,+,200971,201996,UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase,NC_000913.2,2863
100,fabZ,+,202101,202556,(3R)-hydroxymyristol acyl carrier protein dehydratase,NC_000913.2,344
101,lpxA,+,202560,203348,UDP-N-acetylglucosamine acetyltransferase%3B lipid A biosynthesis,NC_000913.2,2231
102,lpxB,+,203348,204496,tetraacyldisaccharide-1-P%3B lipid A biosynthesis%2C penultimate step,NC_000913.2,3132
103,rnhB,+,204493,205089,RNAse HII%2C degrades RNA of DNA-RNA hybrids,NC_000913.2,6373
104,dnaE,+,205126,208608,DNA polymerase III%2C alpha subunit,NC_000913.2,14828
105,accA,+,208621,209580,acetylCoA carboxylase%2C carboxytransferase component%2C alpha subunit,NC_000913.2,4070
106,ldcC,+,209679,211820,lysine decarboxylase 2%2C constitutive,NC_000913.2,720
107,yaeR,+,211877,212266,putative lyase,NC_000913.2,144
108,tilS,+,212331,213629,tRNA(Ile)-lysidine synthetase,NC_000913.2,1683
109,yaeQ,+,214291,214836,hypothetical protein,NC_000913.2,208
110,arfB,+,214833,215255,alternative stalled-ribosome rescue factor B%3B peptidyl-tRNA hydrolase%2C ribosome-attached,NC_000913.2,104
111,nlpE,+,215269,215979,copper homeostasis protein (lipoprotein),NC_000913.2,356
112,gmhB,+,222833,223408,D%2CD-heptose 1%2C7-bisphosphate phosphatase,NC_000913.2,127
113,dkgB,+,229167,229970,2%2C5-diketo-D-gluconate reductase B,NC_000913.2,60
114,yafD,+,231122,231922,hypothetical protein,NC_000913.2,1470
115,yafE,+,231926,232549,putative biotin synthesis protein,NC_000913.2,482
116,yafS,+,234816,235538,putative S-adenosyl-L-methionine-dependent methyltransferase,NC_000913.2,323
117,dnaQ,+,236067,236798,DNA polymerase III%2C epsilon subunit,NC_000913.2,1101
118,yafT,+,237335,238120,putative aminopeptidase,NC_000913.2,12
119,yafF,+,239106,239378,pseudogene%2C H repeat-associated protein,NC_000913.2,0
120,ivy,+,240343,240816,inhibitor of vertebrate C-type lysozyme%2C periplasmic,NC_000913.2,118
121,gmhA,+,243543,244121,phosphoheptose isomerase,NC_000913.2,637
122,yafJ,+,244327,245094,putative amidotransferase,NC_000913.2,1929
123,yafL,+,246712,247461,putative lipoprotein,NC_000913.2,16
124,rayT,+,247637,248134,RAYT REP element-mobilizing transposase%3B TnpA(REP),NC_000913.2,9
125,lafU,+,250072,250827,pseudogene%2C lateral flagellar motor protein fragment,NC_000913.2,74
126,dinB,+,250898,251953,DNA polymerase IV~DNA polymerase IV%2C devoid of proofreading%2C damage-inducible protein P,NC_000913.2,924
127,yafN,+,252005,252298,antitoxin of the YafO-YafN toxin-antitoxin system,NC_000913.2,101
128,yafO,+,252301,252699,mRNA interferase toxin of the YafO-YafN toxin-antitoxin system,NC_000913.2,2
129,yafP,+,252709,253161,putative acyltransferase with acyl-CoA N-acyltransferase domain,NC_000913.2,3
130,ykfJ,+,253479,253685,pseudogene,NC_000913.2,0
131,prfH,+,253702,254202,pseudogene%2C predicted peptide chain release factor homolog~probable peptide chain release factor,NC_000913.2,3
132,gpt,+,255977,256435,guanine-hypoxanthine phosphoribosyltransferase,NC_000913.2,802
133,frsA,+,256527,257771,fermentation-respiration switch protein%3B PTS Enzyme IIA(Glc)-binding protein%3B pNP-butyrate esterase activity,NC_000913.2,896
134,crl,+,257829,258230,transcriptional regulator of cryptic csgA gene for curli surface fibers,NC_000913.2,457
135,proB,+,259612,260715,gamma-glutamate kinase,NC_000913.2,8184
136,proA,+,260727,261980,gamma-glutamylphosphate reductase,NC_000913.2,3606
137,insN,+,269502,269759,pseudogene%2C IS911 transposase A%3BIS%2C phage%2C Tn%3B Transposon-related functions%3B extrachromosomal%3B transposon related,NC_000913.2,7
138,insI1,+,269827,270978,IS30 transposase,NC_000913.2,80
139,insN,+,270988,271413,pseudogene%2C IS911 transposase A%3BIS%2C phage%2C Tn%3B Transposon-related functions%3B extrachromosomal%3B transposon related,NC_000913.2,445
140,ykfC,+,272071,273178,CP4-6 prophage%3B conserved protein%3BPhage or Prophage Related,NC_000913.2,197
141,mmuP,+,274549,275952,CP4-6 prophage%3B predicted S-methylmethionine transporter,NC_000913.2,278
142,mmuM,+,275939,276871,CP4-6 prophage%3B S-methylmethionine:homocysteine methyltransferase,NC_000913.2,585
143,insI1,+,279155,279328,IS30 transposase%3BIS%2C phage%2C Tn%3B Transposon-related functions%3B extrachromosomal%3B transposon related,NC_000913.2,3
144,yagE,+,281502,282410,putative lyase/synthase,NC_000913.2,94
145,yagF,+,282425,284392,putative dehydratase,NC_000913.2,574
146,yagG,+,284619,286001,putative permease,NC_000913.2,35
147,yagH,+,286013,287623,putative beta-xylosidase,NC_000913.2,54
148,ykgS,+,289653,289857,pseudogene,NC_000913.2,0
149,yagJ,+,290628,291455,CP4-6 prophage%3B putative protein%3BPhage or Prophage Related,NC_000913.2,59
150,yagU,+,302215,302829,inner membrane protein%2C DUF1440 family,NC_000913.2,146
151,ykgL,+,311336,311563,hypothetical protein,NC_000913.2,1
152,eaeH,+,313581,314452,pseudogene%2C attaching and effacing protein homology%3Bfactor%3B Not classified,NC_000913.2,0
153,insE1,+,314515,314814,IS3 transposase A,NC_000913.2,14
154,insF1,+,314811,315677,IS3 transposase B,NC_000913.2,68
155,ykgQ,+,316663,316791,pseudogene%2C putative dehydrogenase,NC_000913.2,0
156,ykgD,+,319451,320305,putative ARAC-type regulatory protein,NC_000913.2,31
157,ykgE,+,320832,321551,putative dehydrogenase subunit,NC_000913.2,749
158,ykgF,+,321562,322989,putative electron transport protein with ferridoxin-like domai,NC_000913.2,2273
159,ykgG,+,322982,323677,putative transporter,NC_000913.2,666
160,betT,+,328687,330720,high-affinity choline transport,NC_000913.2,1002
161,yahA,+,331595,332683,c-di-GMP-specific phosphodiesterase,NC_000913.2,178
162,yahD,+,334504,335109,putative transcription factor,NC_000913.2,2
163,yahE,+,335149,336012,hypothetical protein,NC_000913.2,6
164,yahF,+,336002,337549,putative oxidoreductase subunit,NC_000913.2,67
165,yahG,+,337549,338967,hypothetical protein,NC_000913.2,42
166,yahI,+,339389,340339,putative kinase,NC_000913.2,16
167,yahJ,+,340349,341731,putative deaminase,NC_000913.2,356
168,yahK,+,342108,343157,putative oxidoreductase,NC_000913.2,297
169,yahL,+,343400,344215,hypothetical protein,NC_000913.2,2
170,yahM,+,344628,344873,hypothetical protein,NC_000913.2,1
171,yahO,+,345708,345983,periplasmic protein%2C function unknown%2C YhcN family,NC_000913.2,10
172,prpB,+,347906,348796,putative phosphonomutase 2,NC_000913.2,46
173,prpC,+,349236,350405,putative citrate synthase%3B propionate metabolism?,NC_000913.2,30
174,prpD,+,350439,351890,2-methylcitrate dehydratase,NC_000913.2,23
175,prpE,+,351930,353816,putative propionyl-CoA synthetase,NC_000913.2,181
176,codB,+,354146,355405,cytosine permease/transport,NC_000913.2,152
177,codA,+,355395,356678,cytosine/isoguanine deaminase,NC_000913.2,1188
178,cynT,+,358023,358682,carbonic anhydrase,NC_000913.2,8
179,cynS,+,358713,359183,cyanate aminohydrolase%2C cyanase,NC_000913.2,3
180,cynX,+,359216,360370,cyanate transport,NC_000913.2,79
181,mhpA,+,367835,369499,3-(3-hydroxyphenyl)propionate hydroxylase,NC_000913.2,104
182,mhpB,+,369501,370445,2%2C3-dihydroxyphenylpropionate 1%2C2-dioxygenase,NC_000913.2,66
183,mhpC,+,370463,371329,2-hydroxy-6-ketonona-2%2C4-dienedioic acid hydrolase,NC_000913.2,56
184,mhpD,+,371339,372148,2-keto-4-pentenoate hydratase,NC_000913.2,39
185,mhpF,+,372145,373095,acetaldehyde dehydrogenase,NC_000913.2,93
186,mhpE,+,373092,374105,4-hydroxy-2-ketovalerate aldolase,NC_000913.2,137
187,mhpT,+,374683,375894,putative transport protein,NC_000913.2,184
188,yaiL,+,375996,376535,hypothetical protein,NC_000913.2,159
189,insC1,+,380575,380940,IS2 repressor TnpA,NC_000913.2,101
190,insD1,+,380898,381803,IS2 transposase TnpB,NC_000913.2,505
191,tauA,+,384456,385418,taurine transport system periplasmic protein,NC_000913.2,64
192,tauB,+,385431,386198,taurine ATP-binding component of a transport system,NC_000913.2,77
193,tauC,+,386195,387022,taurine transport system permease protein,NC_000913.2,28
194,tauD,+,387019,387870,taurine dioxygenase%2C 2-oxoglutarate-dependent,NC_000913.2,76
195,yaiT,+,389475,390932,putative protein%3Bputative structure%3B Not classified~putative flagellin structural protein~interrupted by IS3,NC_000913.2,6
196,yaiT,+,392194,393642,putative protein%3Bputative structure%3B Not classified~putative flagellin structural protein~interrupted by IS3,NC_000913.2,45
197,yaiV,+,393730,394353,putative DNA-binding transcriptional regulator,NC_000913.2,0
198,sbmA,+,395863,397083,sensitivity to microcin B17%2C possibly envelop protein,NC_000913.2,109
199,yaiW,+,397096,398190,putative lipoprotein required for swarming phenotype,NC_000913.2,1082
200,yaiZ,+,398817,399029,putative inner membrane protein%2C DUF2754 family,NC_000913.2,39
201,iraP,+,400610,400870,anti-RssB factor%2C RpoS stabilzer during Pi starvation%3B anti-adapter protein,NC_000913.2,1
202,phoA,+,400971,402386,alkaline phosphatase~start codon corrected,NC_000913.2,150
203,psiF,+,402505,402825,induced by phosphate starvation,NC_000913.2,15
204,yaiC,+,402927,404042,diguanylate cyclase%2C cellulose regualtor,NC_000913.2,17
205,yaiI,+,404988,405446,conserved protein%2C UPF0178 family%2C downregulated by beryllium,NC_000913.2,37
206,aroL,+,405629,406153,shikimate kinase II,NC_000913.2,627
207,yaiA,+,406203,406394,OxyR-regulated conserved protein,NC_000913.2,325
208,aroM,+,406652,407329,protein of aro operon%2C regulated by aroR,NC_000913.2,76
209,yaiE,+,407401,407685,conserved protein%2C UPF0345 family,NC_000913.2,127
210,ykiA,+,407833,408174,pseudogene,NC_000913.2,11
211,mak,+,409368,410276,possible NAGC-like transcriptional regulator,NC_000913.2,325
212,phoB,+,416366,417055,positive response regulator for pho regulon%2C sensor is PhoR (or CreC),NC_000913.2,1085
213,phoR,+,417113,418408,positive and negative sensor protein for pho regulon,NC_000913.2,541
214,brnQ,+,418815,420134,branched chain amino acid transport system II carrier protein,NC_000913.2,485
215,proY,+,420210,421583,proline permease transport protein,NC_000913.2,674
216,malZ,+,421742,423556,maltodextrin glucosidase,NC_000913.2,355
217,queA,+,424235,425305,synthesis of queuine in tRNA%3B probably S-adenosylmethionine:tRNA ribosyltransferase-isomerase,NC_000913.2,1842
218,tgt,+,425361,426488,tRNA-guanine transglycosylase,NC_000913.2,1016
219,yajC,+,426511,426843,SecYEG protein translocase auxillary subunit,NC_000913.2,408
220,secD,+,426871,428718,protein secretion%3B membrane protein%2C part of the channel,NC_000913.2,1827
221,secF,+,428729,429700,protein secretion%2C membrane protein,NC_000913.2,2086
222,yajD,+,429829,430176,conserved protein%2C HNH family,NC_000913.2,98
223,nrdR,+,432226,432675,hypothetical protein,NC_000913.2,2118
224,ribD,+,432679,433782,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase,NC_000913.2,9719
225,ribE,+,433871,434341,riboflavin synthase%2C beta chain,NC_000913.2,1759
226,nusB,+,434361,434780,transcription termination%3B L factor,NC_000913.2,2090
227,thiL,+,434858,435835,thiamin-monophosphate kinase,NC_000913.2,1089
228,pgpA,+,435813,436331,phosphatidylglycerophosphatase,NC_000913.2,1989
229,thiI,+,440773,442221,tRNA s(4)U8 sulfurtransferase,NC_000913.2,1051
230,yajQ,+,443907,444398,phage Phi6 host factor%2C ATP/GTP binding protein,NC_000913.2,443
231,bolA,+,453696,454013,possible regulator of murein genes,NC_000913.2,86
232,tig,+,454357,455655,trigger factor%3B a molecular chaperone involved in cell division,NC_000913.2,7868
233,clpP,+,455901,456524,ATP-dependent proteolytic subunit of clpA-clpP serine protease%2C heat shock protein F21.5,NC_000913.2,4032
234,clpX,+,456650,457924,ATP-dependent specificity component of clpP serine protease%2C chaperone,NC_000913.2,5248
235,lon,+,458112,460466,DNA-binding%2C ATP-dependent protease La%3B heat shock K-protein,NC_000913.2,82614
236,hupB,+,460675,460947,DNA-binding protein HU-beta%2C NS1 (HU-1),NC_000913.2,2090
237,ppiD,+,461139,463010,periplasmic folding chaperone%2C has an inactive PPIase domain,NC_000913.2,2244
238,ybaV,+,463161,463532,conserved protein%2C ComEA homolog,NC_000913.2,37
239,fadM,+,463626,464024,long-chain acyl-CoA thioesterase III,NC_000913.2,16
240,cof,+,466636,467454,thiamin pyrimidine pyrophosphate hydrolase%3B HMP-PP phosphatase,NC_000913.2,139
241,ybaO,+,467607,468065,putative LRP-like transcriptional regulator,NC_000913.2,144
242,mdlA,+,468095,469867,fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components,NC_000913.2,1108
243,mdlB,+,469860,471641,fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components,NC_000913.2,617
244,glnK,+,471822,472160,nitrogen regulatory protein P-II 2,NC_000913.2,5
245,amtB,+,472190,473476,probable ammonium transporter,NC_000913.2,714
246,ybaY,+,474603,475175,glycoprotein/polysaccharide metabolism,NC_000913.2,27
247,ybaA,+,475896,476249,conserved protein%2C DUF1428 family,NC_000913.2,24
248,acrR,+,484985,485632,acrAB operon repressor,NC_000913.2,59
249,mscK,+,485760,489122,mechanosensitive channel protein,NC_000913.2,630
250,ybaN,+,490106,490483,putative gene 58,NC_000913.2,43
251,apt,+,490636,491187,adenine phosphoribosyltransferase,NC_000913.2,566
252,dnaX,+,491316,493247,DNA polymerase III%2C tau and gamma subunits%3B DNA elongation factor III,NC_000913.2,4823
253,ybaB,+,493300,493629,hypothetical protein,NC_000913.2,513
254,recR,+,493629,494234,recombination and repair,NC_000913.2,1485
255,htpG,+,494344,496218,chaperone Hsp90%2C heat shock protein C 62.5,NC_000913.2,14351
256,adk,+,496399,497043,adenylate kinase activity%3B pleiotropic effects on glycerol-3-phosphate acyltransferase activity,NC_000913.2,3008
257,hemH,+,497279,498241,ferrochelatase: final enzyme of heme biosynthesis,NC_000913.2,1857
258,gsk,+,499349,500653,inosine-guanosine kinase,NC_000913.2,2366
259,ushA,+,504138,505790,UDP-sugar hydrolase (5'-nucleotidase),NC_000913.2,1075
260,ybaQ,+,507442,507783,putative DNA-binding transcriptional regulator,NC_000913.2,24
261,glsA,+,510865,511797,putative glutaminase,NC_000913.2,19
262,ybaT,+,511800,513092,putative amino acid/amine transport protein,NC_000913.2,108
263,cueR,+,513217,513624,DNA-binding transcriptional activator of copper-responsive regulon genes,NC_000913.2,57
264,ybbL,+,515143,515820,putative ATP-binding component of a transport system,NC_000913.2,10
265,ybbM,+,515807,516586,putative metal resistance protein,NC_000913.2,28
266,ybbA,+,518957,519643,putative ATP-binding component of a transport system,NC_000913.2,496
267,ybbP,+,519640,522054,putative oxidoreductase,NC_000913.2,1048
268,rhsD,+,522485,526765,rhsD protein in rhs element,NC_000913.2,731
269,ybbC,+,526805,527173,hypothetical protein,NC_000913.2,1
270,ylbH,+,527176,527883,pseudogene%2C rhs-like,NC_000913.2,6
271,ybbD,+,527864,528354,pseudogene,NC_000913.2,0
272,ylbI,+,528724,528816,pseudogene%2C Rhs family,NC_000913.2,0
273,allA,+,531675,532157,ureidoglycolate hydrolase,NC_000913.2,76
274,allR,+,532235,533050,DNA-binding transcriptional repressor for all (allantoin) and gcl (glyoxylate) operons%3B glyoxylate-induced,NC_000913.2,2637
275,gcl,+,533140,534921,glyoxylate carboligase,NC_000913.2,92
276,hyi,+,534934,535710,hydroxypyruvate isomerase,NC_000913.2,3
277,glxR,+,535810,536688,tartronate semialdehyde reductase%2C NADH-dependent,NC_000913.2,8
278,ybbW,+,536857,538311,putative allantoin transporter,NC_000913.2,4
279,allB,+,538371,539732,allantoinase,NC_000913.2,26
280,ybbY,+,539789,541090,putative uracil/xanthine transporter,NC_000913.2,9
281,glxK,+,541112,542257,glycerate kinase II,NC_000913.2,220
282,fdrA,+,545904,547571,involved in protein transport%3B multicopy suppressor of dominant negative ftsH mutants,NC_000913.2,21
283,ylbE,+,547581,547832,putative protein%2C C-ter fragment (pseudogene),NC_000913.2,9
284,ylbE,+,547832,548839,putative protein%2C C-ter fragment (pseudogene),NC_000913.2,144
285,ylbF,+,548850,549665,putative carboxylase,NC_000913.2,86
286,ybcF,+,549662,550555,putative carbamate kinase,NC_000913.2,87
287,cysS,+,553834,555219,cysteine tRNA synthetase,NC_000913.2,2014
288,sfmA,+,557435,557977,putative fimbrial-like protein,NC_000913.2,2
289,sfmC,+,558197,558889,putative chaperone,NC_000913.2,0
290,sfmD,+,558920,561523,putative outer membrane protein%2C export function,NC_000913.2,215
291,sfmH,+,561559,562542,involved in fimbrial asembly,NC_000913.2,8
292,sfmF,+,562553,563068,putative fimbrial-like protein,NC_000913.2,1
293,peaD,+,565599,565910,DLP12 prophage%3B predicted replication protein fragment (pseudogene)%3BPhage or Prophage Related,NC_000913.2,16
294,renD,+,565907,565999,pseudogene%2C DLP12 prophage%3BPhage or Prophage Related,NC_000913.2,0
295,insE1,+,566065,566364,IS3 transposase A,NC_000913.2,15
296,insF1,+,566361,567227,IS3 transposase B,NC_000913.2,85
297,renD,+,567258,567470,pseudogene%2C DLP12 prophage%3BPhage or Prophage Related,NC_000913.2,36
298,emrE,+,567538,567870,methylviologen resistance,NC_000913.2,30
299,ybcK,+,568125,569651,DLP12 prophage%3B predicted recombinase,NC_000913.2,2
300,ybcL,+,570116,570667,DLP12 prophage%3B secreted protein%2C UPF0098 family,NC_000913.2,2
301,ybcM,+,570677,571474,putative ARAC-type regulatory protein,NC_000913.2,12
302,ylcH,+,571591,571692,hypothetical protein%2C DLP12 prophage,NC_000913.2,0
303,ybcN,+,571689,572144,DLP12 prophage%3B putative protein,NC_000913.2,4
304,ninE,+,572144,572314,similar to phage 82 and lambda proteins,NC_000913.2,4
305,ybcO,+,572307,572597,DLP12 prophage%3B putative protein,NC_000913.2,25
306,rusA,+,572594,572956,endodeoxyribonuclease RUS (Holliday junction resolvase),NC_000913.2,16
307,ylcG,+,572953,573093,expressed protein%2C DLP12 prophage,NC_000913.2,6
308,quuD,+,573179,573562,DLP12 prophage%3B predicted antitermination protein,NC_000913.2,22
309,essD,+,576621,576836,DLP12 prophage%3B predicted phage lysis protein,NC_000913.2,1
310,rrrD,+,576836,577333,bacteriophage lambda lysozyme homolog,NC_000913.2,22
311,rzpD,+,577330,577791,bacteriophage lambda endopeptidase homolog,NC_000913.2,35
312,rzoD,+,577550,577732,DLP12 prophage%3B predicted lipoprotein,NC_000913.2,24
313,ybcW,+,579103,579309,DLP12 prophage%3B putative protein,NC_000913.2,0
